stn_id,wmo_index,calendar_cnt,tmd_cnt,tmd_rain_sum,tmd_rain_sum_adjust,stn_name,province,lon,lat,dt,year,month,day
352201,48352,31,31,21,21,Ë¹Í§¤ÒÂ,Ë¹Í§¤ÒÂ,102.733027778,17.8671666667,2018-01-31,2018,01,31
353201,48353,31,31,28,28,àÅÂ,àÅÂ,101.733333333,17.45,2018-01-31,2018,01,31
354201,48354,31,31,0,0,ÍØ´Ã¸Ò¹Õ,ÍØ´Ã¸Ò¹Õ,102.8,17.3833333333,2018-01-31,2018,01,31
356301,48355,31,31,0,0,Ê¡Å¹¤Ã Ê¡É.,Ê¡Å¹¤Ã,104.061,17.1250277778,2018-01-31,2018,01,31
356201,48356,31,31,0,0,Ê¡Å¹¤Ã,Ê¡Å¹¤Ã,104.133333333,17.15,2018-01-31,2018,01,31
357201,48357,31,31,2,2,¹¤Ã¾¹Á,¹¤Ã¾¹Á,104.7825,17.4108333333,2018-01-31,2018,01,31
357301,48358,31,31,27,27,¹¤Ã¾¹Á Ê¡É.,¹¤Ã¾¹Á,104.773611111,17.4430555556,2018-01-31,2018,01,31
360201,48360,31,31,0,0,Ë¹Í§ºÑÇÅÓÀÙ,Ë¹Í§ºÑÇÅÓÀÙ,102.429444444,17.2325,2018-01-31,2018,01,31
373301,48373,31,23,4,5,ÈÃÕÊÓâÃ§ Ê¡É.,ÊØâ¢·ÑÂ,99.8616666667,17.1613611111,2018-01-31,2018,01,31
379401,48374,31,31,3,3,ËÅèÁÊÑ¡,à¾ªÃºÙÃ³ì,101.249444444,16.7736111111,2018-01-31,2018,01,31
376202,48375,31,31,0,0,áÁèÊÍ´,µÒ¡,98.5508333333,16.6591666667,2018-01-31,2018,01,31
376201,48376,31,31,16,16,µÒ¡,µÒ¡,99.1433333333,16.8783333333,2018-01-31,2018,01,31
376203,48377,31,31,0,0,à¢×èÍ¹ÀÙÁÔ¾Å,µÒ¡,99.0025,17.2438888889,2018-01-31,2018,01,31
378201,48378,31,31,0,0,¾ÔÉ³ØâÅ¡,¾ÔÉ³ØâÅ¡,100.279305556,16.7948055556,2018-01-31,2018,01,31
379201,48379,31,31,28,28,à¾ªÃºÙÃ³ì,à¾ªÃºÙÃ³ì,101.15,16.4333333333,2018-01-31,2018,01,31
380201,48380,31,31,7,7,¡Óá¾§à¾ªÃ,¡Óá¾§à¾ªÃ,99.5269722222,16.4868055556,2018-01-31,2018,01,31
381201,48381,31,31,1,1,¢Í¹á¡è¹,¢Í¹á¡è¹,102.789722222,16.4611111111,2018-01-31,2018,01,31
387401,48382,31,31,2,2,ÁËÒÊÒÃ¤ÒÁ,ÁËÒÊÒÃ¤ÒÁ,103.001388889,16.2472222222,2018-01-31,2018,01,31
383201,48383,31,31,0,0,ÁØ¡´ÒËÒÃ,ÁØ¡´ÒËÒÃ,104.728888889,16.5413888889,2018-01-31,2018,01,31
381301,48384,31,31,3,3,·èÒ¾Ð Ê¡É.,¢Í¹á¡è¹,102.816666667,16.3333333333,2018-01-31,2018,01,31
376401,48385,31,30,32,33,ÍØéÁ¼Ò§,µÒ¡,98.8644444444,16.0247222222,2018-01-31,2018,01,31
386301,48386,31,31,14,14,¾Ô¨ÔµÃ Ê¡É.,¾Ô¨ÔµÃ,100.2925,16.4380555556,2018-01-31,2018,01,31
376301,48387,31,31,2,2,´ÍÂÁÙà«ÍÃì Ê¡É.,µÒ¡,98.9333333333,16.75,2018-01-31,2018,01,31
388401,48390,31,31,0,0,¡ÒÌÊÔ¹¸Øì,¡ÒÌÊÔ¹¸Øì,103.588333333,16.3325,2018-01-31,2018,01,31
400301,48401,31,31,3,3,µÒ¡¿éÒ Ê¡É.,¹¤ÃÊÇÃÃ¤ì,100.530277778,15.3494444444,2018-01-31,2018,01,31
402301,48402,31,26,0,0,ªÑÂ¹Ò· Ê¡É.,ªÑÂ¹Ò·,100.183333333,15.15,2018-01-31,2018,01,31
403201,48403,31,31,0,0,ªÑÂÀÙÁÔ,ªÑÂÀÙÁÔ,102.033333333,15.8,2018-01-31,2018,01,31
405301,48404,31,31,0,0,ÃéÍÂàÍç´ Ê¡É.,ÃéÍÂàÍç´,103.608444444,16.0732222222,2018-01-31,2018,01,31
405201,48405,31,31,1,1,ÃéÍÂàÍç´,ÃéÍÂàÍç´,103.743888889,16.02,2018-01-31,2018,01,31
407501,48407,31,31,0,0,ÍØºÅÃÒª¸Ò¹Õ (ÈÙ¹ÂìÏ),ÍØºÅÃÒª¸Ò¹Õ,104.866666667,15.25,2018-01-31,2018,01,31
407301,48408,31,31,0,0,ÍØºÅÃÒª¸Ò¹Õ Ê¡É.,ÍØºÅÃÒª¸Ò¹Õ,105.0235,15.2391388889,2018-01-31,2018,01,31
409301,48409,31,31,2,2,ÈÃÕÊÐà¡É,ÈÃÕÊÐà¡É,104.05,15.0,2018-01-31,2018,01,31
379402,48413,31,30,18,19,ÇÔàªÕÂÃºØÃÕ,à¾ªÃºÙÃ³ì,101.108,15.657,2018-01-31,2018,01,31
